"Estudiante","Escuela.x","Aula.x","Debate","Votar","Decisiones","Asamblea","Candidato","Medioambiente","Voluntario","Prop.decision","Expres.opinion","Discus.politic","Opinion.mayoria","Discus.difop","Aspectos","Como.votar","Como.leyes","Como.medioambiente","Como.problemas","Como.derechos","Como.paises","Como.economia","Escuela.y","Aula.y","Piel","Clase","Religion","Region","Fisica","Mental","Pais","indigena"
10010301,1001,100103,1,1,1,2,2,3,1,1,2,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,1001,100103,2,2,2,2,2,2,2,2
10010302,1001,100103,1,3,3,3,3,3,3,3,4,1,4,1,2,2,3,2,2,3,3,3,1001,100103,2,2,1,2,2,1,2,2
10010303,1001,100103,2,1,3,3,3,1,1,4,4,3,4,3,3,2,2,2,2,1,2,1,1001,100103,2,2,2,2,NA,2,2,2
10010304,1001,100103,3,1,3,3,3,3,2,2,3,4,4,2,2,2,2,1,2,2,2,2,1001,100103,2,2,2,2,2,2,2,2
10010305,1001,100103,1,1,2,3,1,2,1,3,2,2,4,2,1,4,4,4,4,4,4,4,1001,100103,1,1,1,1,1,1,1,1
10010306,1001,100103,1,1,2,2,1,1,1,4,4,2,4,4,4,1,1,1,1,2,2,2,1001,100103,2,2,2,2,2,2,2,2
10010307,1001,100103,3,1,2,2,1,2,3,2,3,2,3,2,2,2,3,1,2,3,3,3,1001,100103,2,2,2,2,2,2,2,2
10010308,1001,100103,2,1,3,3,1,1,1,4,4,4,4,4,4,4,3,2,3,3,2,2,1001,100103,2,2,2,2,2,2,2,2
10010309,1001,100103,3,1,3,3,3,3,3,4,4,4,4,1,3,3,1,3,4,3,3,2,1001,100103,2,2,2,2,2,2,2,2
10010311,1001,100103,2,1,3,3,2,3,2,3,3,4,4,2,3,2,1,2,3,2,3,2,1001,100103,2,2,2,2,2,2,2,2
10010312,1001,100103,1,3,3,3,3,3,3,3,1,1,1,1,1,4,4,4,4,4,4,4,1001,100103,2,2,2,2,2,2,2,2
10010313,1001,100103,3,2,3,3,3,3,3,3,3,2,2,2,2,1,2,1,2,2,2,1,1001,100103,2,2,2,2,2,2,2,2
10010314,1001,100103,3,1,3,3,2,3,3,4,4,1,3,2,2,3,2,2,4,3,4,2,1001,100103,2,2,2,2,2,2,2,2
10010315,1001,100103,1,1,1,2,3,2,2,4,4,3,4,2,2,2,2,1,3,2,1,2,1001,100103,2,2,2,2,2,2,2,2
10020201,1002,100202,3,1,3,3,1,2,1,3,3,1,4,3,4,2,4,1,3,3,2,2,1002,100202,2,2,2,2,2,2,2,2
10020202,1002,100202,3,2,1,3,3,1,3,1,2,1,3,2,1,4,4,2,4,4,4,4,1002,100202,2,2,2,2,2,2,2,2
10020203,1002,100202,2,2,3,3,3,3,3,3,3,3,3,3,2,4,2,1,2,1,3,4,1002,100202,2,2,2,2,2,2,2,2
10020204,1002,100202,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1002,100202,1,1,1,1,1,1,1,1
10020205,1002,100202,2,1,3,3,3,2,3,3,4,1,4,3,4,2,3,3,3,3,3,3,1002,100202,2,2,2,2,2,2,2,2
10020207,1002,100202,3,2,3,3,2,2,1,3,3,1,3,3,3,4,3,2,3,2,3,3,1002,100202,2,2,2,2,2,2,2,2
10020209,1002,100202,3,1,3,3,3,1,1,2,4,1,4,1,4,3,2,1,3,2,4,2,1002,100202,1,1,2,2,2,2,2,2
10020210,1002,100202,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1002,100202,NA,NA,2,NA,NA,NA,NA,NA
10020211,1002,100202,3,3,3,3,3,3,1,3,3,1,3,2,3,3,3,2,2,3,3,2,1002,100202,2,2,2,2,2,2,2,1
10020212,1002,100202,NA,1,3,3,3,3,1,4,4,3,4,3,4,2,1,1,1,2,1,1,1002,100202,2,1,1,2,2,2,2,1
10020213,1002,100202,3,2,3,3,3,3,3,2,1,1,3,3,3,3,4,2,3,3,4,4,1002,100202,2,2,2,2,2,2,2,2
10020214,1002,100202,2,1,2,2,1,2,1,1,3,2,2,2,2,2,2,1,1,2,2,3,1002,100202,2,2,2,2,2,2,2,2
10020215,1002,100202,3,1,3,3,3,1,1,3,3,1,3,2,4,2,3,2,3,3,4,2,1002,100202,2,2,2,2,2,2,2,2
10020216,1002,100202,3,3,3,3,3,3,3,2,2,1,2,2,2,3,3,3,3,3,3,3,1002,100202,2,2,2,2,2,2,2,2
10020217,1002,100202,2,1,3,3,3,3,3,1,2,1,2,1,1,4,4,2,4,4,4,4,1002,100202,2,2,2,2,2,2,2,2
10020218,1002,100202,2,1,3,1,1,2,2,4,3,2,1,1,3,2,2,1,2,3,3,3,1002,100202,2,2,2,2,2,2,2,2
10020219,1002,100202,3,1,2,3,2,2,2,3,4,2,3,3,3,2,2,1,2,1,2,3,1002,100202,2,2,2,2,2,2,2,2
10020220,1002,100202,3,2,3,3,2,2,2,2,2,1,1,1,2,2,1,1,2,4,2,2,1002,100202,2,2,2,2,2,2,2,2
10020221,1002,100202,3,1,3,3,1,2,1,1,3,3,3,2,2,2,3,1,2,2,2,2,1002,100202,2,2,2,2,2,2,2,2
10020223,1002,100202,3,2,3,3,3,3,3,3,4,1,2,3,3,2,3,1,3,3,3,2,1002,100202,2,2,2,2,2,2,2,2
10020224,1002,100202,2,1,3,1,3,1,3,4,4,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,1002,100202,1,1,1,1,1,1,1,1
10020225,1002,100202,1,1,1,1,1,1,1,3,3,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,1002,100202,2,2,2,2,2,2,2,2
10020227,1002,100202,1,2,1,1,3,1,1,4,4,3,2,4,4,1,1,1,1,1,3,1,1002,100202,2,2,2,2,2,2,2,2
10020228,1002,100202,2,1,2,3,3,1,2,3,3,1,4,2,2,4,3,1,3,4,4,3,1002,100202,2,1,2,2,2,2,2,2
10020229,1002,100202,3,1,2,3,3,3,2,3,3,3,3,3,3,2,4,2,4,NA,3,2,1002,100202,2,2,2,2,2,2,2,2
10020230,1002,100202,3,1,2,1,1,2,1,4,3,3,3,3,3,1,3,2,2,3,2,2,1002,100202,2,2,2,2,2,2,2,2
10020231,1002,100202,3,3,2,3,3,1,3,4,4,3,4,3,4,2,1,1,2,3,3,4,1002,100202,2,2,2,2,2,2,2,2
10020232,1002,100202,3,2,3,3,2,3,3,2,3,3,2,1,2,2,4,3,4,4,4,4,1002,100202,2,1,2,2,2,2,2,2
10020233,1002,100202,3,2,3,3,2,2,2,4,3,1,3,2,3,1,3,1,2,2,4,2,1002,100202,2,2,2,2,2,2,2,2
10020234,1002,100202,2,2,3,2,3,3,3,4,4,3,4,3,3,1,2,3,2,2,2,2,1002,100202,2,2,2,2,2,2,2,2
10030101,1003,100301,2,1,2,3,3,1,1,4,4,2,4,4,4,2,2,1,2,2,2,2,1003,100301,2,2,2,2,2,2,2,2
10030102,1003,100301,1,1,1,1,1,1,1,4,4,4,4,4,4,3,2,3,1,1,1,1,1003,100301,2,2,1,2,2,1,2,2
10030103,1003,100301,3,1,2,3,1,1,1,4,4,2,4,4,4,2,2,1,1,2,2,3,1003,100301,2,2,2,2,2,2,2,2
10030104,1003,100301,1,1,1,1,1,1,1,2,4,3,4,3,4,2,1,1,1,2,1,1,1003,100301,2,2,1,2,2,2,2,2
10030105,1003,100301,3,1,3,3,1,3,1,3,3,3,3,3,3,4,3,2,2,2,2,2,1003,100301,2,2,2,2,2,2,2,2
10030106,1003,100301,3,1,3,3,3,2,1,3,3,3,2,3,4,3,3,3,3,3,2,3,1003,100301,2,2,2,2,2,2,2,2
10030107,1003,100301,3,3,3,2,3,3,2,3,3,3,3,3,2,3,2,3,3,2,3,3,1003,100301,2,2,2,2,2,2,2,2
10030108,1003,100301,3,1,3,1,3,1,1,3,4,1,2,1,1,1,1,1,2,3,4,1,1003,100301,1,1,NA,1,1,2,2,1
10030109,1003,100301,1,1,2,3,1,2,2,4,4,4,4,4,4,3,2,1,2,2,2,1,1003,100301,2,2,2,2,2,2,2,2
10030110,1003,100301,3,1,1,3,3,1,1,4,4,3,4,3,4,1,2,1,2,1,2,1,1003,100301,2,2,2,2,2,2,2,2
10030111,1003,100301,2,1,2,3,3,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1003,100301,2,2,2,2,2,2,2,2
10030112,1003,100301,1,1,2,3,3,3,3,4,4,2,3,1,2,3,3,1,4,3,4,4,1003,100301,2,2,2,2,2,2,2,2
10030113,1003,100301,3,3,3,3,3,3,3,4,4,2,4,2,4,4,4,4,4,4,4,4,1003,100301,2,2,2,2,2,1,2,2
10030114,1003,100301,1,1,1,3,2,1,1,4,4,3,3,3,3,3,2,2,3,3,4,4,1003,100301,2,2,2,2,2,2,2,2
10030115,1003,100301,1,1,3,1,1,1,1,4,4,4,4,4,4,2,3,1,2,2,2,2,1003,100301,2,2,2,2,2,2,2,2
10030116,1003,100301,2,1,3,3,2,3,2,3,3,2,3,2,4,3,3,3,3,3,3,3,1003,100301,2,2,2,2,2,2,2,2
10030117,1003,100301,1,2,3,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,2,1003,100301,2,2,2,2,2,2,2,2
10030118,1003,100301,3,2,3,3,3,3,3,4,4,1,3,3,3,2,3,3,2,4,4,4,1003,100301,2,2,2,2,2,1,2,1
10030119,1003,100301,3,1,3,3,3,3,3,3,3,2,2,3,3,2,2,1,3,3,3,3,1003,100301,1,1,1,1,1,1,1,1
10030120,1003,100301,3,1,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,1003,100301,2,2,2,2,2,2,2,2
10030121,1003,100301,1,1,1,1,1,1,1,4,4,1,4,4,4,2,2,3,1,2,3,4,1003,100301,2,2,2,2,2,2,2,2
10030122,1003,100301,3,1,3,3,3,1,1,4,4,4,4,4,4,3,3,2,3,4,3,4,1003,100301,2,1,1,2,2,1,2,2
10030123,1003,100301,2,1,3,3,3,2,3,3,3,1,4,3,3,4,3,3,3,4,4,4,1003,100301,2,2,2,2,2,2,2,2
10030124,1003,100301,3,3,3,3,3,3,1,3,3,1,2,2,2,3,3,3,3,3,3,4,1003,100301,2,2,2,2,2,2,2,2
10030125,1003,100301,2,1,3,3,3,2,2,4,4,2,2,4,4,3,3,1,4,4,2,2,1003,100301,2,2,1,2,2,2,2,2
10030127,1003,100301,2,2,3,3,3,2,2,2,4,1,2,1,3,1,2,1,2,3,2,2,1003,100301,1,1,1,1,1,2,1,1
10030128,1003,100301,3,1,3,3,3,3,3,3,3,2,2,3,4,4,3,4,3,3,3,4,1003,100301,1,1,1,1,2,2,1,2
10030129,1003,100301,3,2,2,2,3,2,1,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,1003,100301,2,2,1,2,2,1,2,1
10030130,1003,100301,2,1,2,2,3,3,2,4,4,3,3,4,4,2,2,1,2,1,2,2,1003,100301,2,2,2,2,2,2,2,2
10030131,1003,100301,3,1,2,2,3,3,1,1,1,4,4,1,4,1,1,1,1,1,1,1,1003,100301,1,1,1,1,1,1,2,1
10030132,1003,100301,1,1,1,3,3,1,1,4,4,3,4,4,4,2,2,1,2,2,2,2,1003,100301,2,2,2,2,2,2,2,2
10030133,1003,100301,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,1,2,2,2,1,1003,100301,2,2,2,2,2,2,2,2
10040101,1004,100401,3,1,3,3,3,3,1,4,4,2,1,1,4,1,4,1,4,4,3,3,1004,100401,2,2,2,2,2,2,2,2
10040102,1004,100401,1,1,1,2,1,1,1,4,4,2,4,4,4,1,2,1,1,1,2,2,1004,100401,2,2,2,2,2,2,2,2
10040103,1004,100401,3,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1004,100401,2,2,2,2,2,2,2,2
10040104,1004,100401,2,1,1,2,3,2,1,3,3,3,4,4,4,2,3,1,1,2,3,2,1004,100401,2,2,2,1,1,1,1,2
10040105,1004,100401,3,1,3,3,3,3,3,4,4,1,4,4,4,2,4,3,4,3,3,2,1004,100401,2,2,2,2,2,2,2,2
10040106,1004,100401,2,1,3,3,3,2,3,3,3,4,4,3,3,3,3,1,2,2,3,3,1004,100401,2,2,2,2,2,2,2,2
10040107,1004,100401,3,1,3,3,3,3,3,NA,NA,NA,NA,NA,NA,4,3,3,3,3,3,3,1004,100401,2,2,1,2,2,2,2,2
10040108,1004,100401,3,2,3,2,3,3,3,2,3,1,3,2,3,4,3,2,3,3,4,4,1004,100401,2,2,2,2,2,2,2,2
10040109,1004,100401,3,2,3,3,3,2,3,3,4,2,3,3,3,2,2,1,2,2,3,2,1004,100401,2,2,2,2,2,2,2,2
10040110,1004,100401,1,1,1,2,1,1,2,4,4,2,3,3,4,2,3,1,2,1,3,2,1004,100401,2,2,2,2,2,2,2,2
10040111,1004,100401,1,1,1,1,1,1,2,3,4,1,2,3,4,1,2,1,1,2,3,2,1004,100401,2,2,2,2,2,2,2,2
10040112,1004,100401,2,1,3,3,3,3,3,2,2,2,2,2,2,3,4,1,4,2,3,4,1004,100401,2,2,2,2,2,NA,NA,2
10040113,1004,100401,3,1,3,3,3,2,3,4,4,4,4,4,4,2,2,3,4,3,4,4,1004,100401,2,2,2,2,2,2,2,2
10040114,1004,100401,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,2,3,3,3,4,1004,100401,2,2,2,2,2,2,2,2
10040115,1004,100401,2,2,3,3,3,3,3,4,4,1,1,1,1,4,4,4,4,4,4,4,1004,100401,2,2,2,2,2,2,2,2
10040116,1004,100401,3,3,3,3,3,3,2,4,4,4,4,4,4,2,2,2,2,2,2,2,1004,100401,2,2,2,2,2,2,2,2
10040117,1004,100401,3,1,3,1,3,3,3,4,4,4,4,4,4,2,1,2,2,2,2,2,1004,100401,2,2,2,2,2,2,2,2
10040118,1004,100401,3,1,3,3,3,2,3,4,4,3,3,4,4,2,2,1,1,2,2,2,1004,100401,2,2,2,2,2,2,2,2
10040119,1004,100401,1,2,3,3,3,3,3,3,4,3,4,4,4,2,1,1,2,3,2,2,1004,100401,2,2,2,2,2,2,2,2
10040120,1004,100401,3,2,3,3,3,3,3,3,4,1,3,3,2,2,3,1,3,3,4,4,1004,100401,2,2,2,2,2,2,2,2
10040121,1004,100401,2,2,3,3,3,2,2,4,4,2,3,2,3,2,1,1,2,1,3,2,1004,100401,2,2,2,2,2,1,2,2
10040122,1004,100401,3,1,3,3,3,3,2,4,4,2,3,2,1,2,3,2,2,3,2,1,1004,100401,2,2,2,2,1,1,2,2
10040123,1004,100401,3,1,3,2,3,3,3,3,4,3,2,1,3,4,4,4,4,2,3,4,1004,100401,2,2,2,2,2,2,2,2
10040124,1004,100401,3,1,3,3,3,3,3,4,4,2,4,4,4,4,2,1,2,1,1,1,1004,100401,2,2,2,2,2,2,2,2
10040126,1004,100401,2,1,1,1,2,1,1,4,4,4,4,4,4,1,2,3,1,2,3,2,1004,100401,2,2,2,2,2,2,2,2
10040127,1004,100401,2,1,2,2,3,1,2,3,4,2,3,4,4,2,2,1,3,3,3,3,1004,100401,2,2,2,2,2,2,2,2
10050201,1005,100502,3,1,3,3,3,3,3,4,4,2,4,4,4,3,4,4,4,4,4,4,1005,100502,2,2,2,2,2,2,2,2
10050202,1005,100502,3,2,3,2,3,2,2,4,4,2,3,2,3,2,2,1,3,2,2,2,1005,100502,2,2,2,2,2,2,2,1
10050203,1005,100502,3,1,3,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1005,100502,2,2,2,2,2,2,2,2
10050204,1005,100502,2,1,2,2,2,2,3,4,4,3,4,3,4,1,2,3,2,2,2,2,1005,100502,2,2,2,2,2,2,2,2
10050205,1005,100502,2,1,1,1,2,2,1,4,4,3,4,3,3,2,3,3,3,3,3,4,1005,100502,2,2,2,2,2,2,2,2
10050206,1005,100502,2,1,3,3,3,3,3,3,4,1,4,4,4,2,2,2,2,2,2,2,1005,100502,1,1,1,1,1,1,1,1
10050207,1005,100502,3,1,3,1,2,2,1,3,4,2,3,1,3,1,2,1,3,NA,1,2,1005,100502,2,2,2,2,2,2,2,2
10050208,1005,100502,2,2,2,3,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1005,100502,2,2,2,2,2,2,2,2
10050209,1005,100502,2,1,2,2,1,1,1,4,4,4,4,4,3,1,1,1,1,1,1,1,1005,100502,2,2,2,2,2,2,2,2
10050210,1005,100502,2,1,2,2,3,1,1,4,4,3,3,4,4,1,1,1,1,1,2,1,1005,100502,1,1,1,1,1,1,1,1
10050211,1005,100502,3,2,3,3,3,3,2,1,1,2,3,1,4,1,1,1,1,1,1,1,1005,100502,1,1,1,1,1,1,1,1
10050212,1005,100502,1,1,2,2,1,1,3,2,2,3,2,3,2,1,1,1,1,1,1,1,1005,100502,1,1,1,1,1,1,1,1
10050213,1005,100502,3,2,3,3,3,2,2,4,4,2,4,4,4,2,2,1,1,1,2,2,1005,100502,2,2,2,2,2,2,2,2
10050214,1005,100502,2,2,3,3,3,3,2,3,4,2,3,1,4,1,3,1,3,4,3,2,1005,100502,2,2,2,2,2,1,2,2
10050215,1005,100502,3,1,3,3,3,3,3,3,4,1,2,3,2,1,1,2,4,1,1,2,1005,100502,1,1,1,1,1,1,1,1
10050216,1005,100502,3,1,3,3,3,3,3,1,3,3,3,3,3,4,4,4,3,3,4,3,1005,100502,2,1,2,2,2,2,1,2
10050217,1005,100502,3,2,3,3,3,3,1,3,4,1,4,4,4,2,2,1,2,3,3,3,1005,100502,2,2,2,2,2,2,2,2
10050218,1005,100502,3,1,3,3,1,3,1,4,4,1,1,4,4,1,1,1,1,1,2,1,1005,100502,2,2,2,2,2,2,2,2
10050219,1005,100502,2,1,3,2,1,3,1,4,4,3,4,3,4,1,1,1,1,1,3,2,1005,100502,2,2,2,2,2,2,2,2
10050220,1005,100502,3,1,2,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,3,2,1005,100502,2,2,2,2,2,2,2,2
10050222,1005,100502,1,1,1,2,1,1,1,4,4,4,4,4,4,3,2,1,1,1,3,1,1005,100502,2,2,2,2,2,2,2,2
10050223,1005,100502,2,1,2,2,2,2,3,4,4,3,2,3,4,2,2,2,2,2,3,3,1005,100502,2,2,2,2,2,2,2,2
10050225,1005,100502,2,2,3,3,3,1,2,4,3,3,4,2,3,3,2,2,3,4,4,4,1005,100502,1,2,1,2,1,2,1,2
10050226,1005,100502,2,1,3,3,3,3,3,3,4,2,2,3,2,2,4,1,2,4,3,2,1005,100502,2,2,2,2,2,2,2,2
10050227,1005,100502,3,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,2,2,2,1005,100502,2,2,2,2,2,2,2,2
10060101,1006,100601,3,1,2,3,3,1,2,3,4,2,4,3,4,1,1,1,1,2,2,2,1006,100601,2,2,2,2,2,2,1,2
10060103,1006,100601,2,1,2,3,2,3,3,4,4,2,4,4,4,2,2,2,1,2,2,3,1006,100601,2,2,2,2,2,2,NA,2
10060104,1006,100601,1,1,3,3,3,3,3,4,4,3,3,3,4,1,2,1,3,2,3,2,1006,100601,2,2,2,2,2,2,2,2
10060105,1006,100601,1,1,1,1,3,2,2,4,4,4,4,4,4,1,1,1,1,1,1,1,1006,100601,2,2,2,2,2,2,2,2
10060106,1006,100601,3,1,3,3,3,3,3,4,4,3,4,4,4,2,2,1,3,2,3,3,1006,100601,2,2,2,2,2,2,2,2
10060108,1006,100601,3,2,2,3,2,3,3,4,4,3,2,3,3,2,3,1,1,2,3,1,1006,100601,2,1,2,2,2,2,2,2
10060109,1006,100601,3,1,3,3,1,1,2,4,4,2,4,4,4,2,3,1,2,1,3,2,1006,100601,2,2,2,2,2,2,2,2
10060110,1006,100601,3,1,3,1,3,1,3,4,4,2,2,4,3,1,2,1,2,1,3,1,1006,100601,2,2,2,2,2,2,2,2
10060111,1006,100601,3,1,2,3,1,1,2,4,4,2,4,2,2,1,2,1,1,1,3,4,1006,100601,2,2,2,2,2,2,2,2
10060112,1006,100601,1,1,2,1,1,3,3,4,4,3,4,4,4,1,1,2,4,3,1,2,1006,100601,2,2,2,2,2,2,2,2
10060113,1006,100601,3,2,3,3,3,3,1,3,3,2,3,1,4,2,2,2,2,2,2,2,1006,100601,2,2,2,2,2,2,2,2
10060114,1006,100601,1,1,2,1,2,2,1,3,4,2,3,3,2,3,3,2,2,2,2,3,1006,100601,2,2,2,2,2,2,1,2
10060115,1006,100601,1,1,1,2,3,2,1,4,4,2,2,4,4,2,1,1,1,1,1,1,1006,100601,2,2,2,2,2,2,2,2
10060116,1006,100601,1,1,2,1,2,2,1,4,4,3,3,2,4,1,2,1,1,1,1,1,1006,100601,2,2,2,2,2,2,2,2
10060117,1006,100601,1,1,2,3,1,2,1,3,4,3,3,3,3,2,1,1,1,1,1,1,1006,100601,2,2,2,2,2,2,2,2
10060118,1006,100601,1,1,1,1,3,2,2,3,4,2,2,2,3,2,2,2,2,2,3,4,1006,100601,2,2,2,2,2,2,2,2
10060119,1006,100601,3,1,3,3,3,3,1,4,4,4,4,4,4,4,3,1,4,3,2,2,1006,100601,2,2,2,2,2,2,2,2
10060120,1006,100601,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1006,100601,2,2,2,2,2,2,2,2
10060121,1006,100601,2,1,1,1,1,2,2,4,4,2,3,2,3,2,2,1,1,1,2,2,1006,100601,2,2,2,2,2,2,2,2
10060123,1006,100601,3,1,3,3,3,2,3,3,3,3,3,3,3,1,2,1,2,1,2,3,1006,100601,2,2,2,2,2,2,2,2
10070202,1007,100702,3,1,2,NA,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,1007,100702,2,2,2,2,2,2,2,2
10070203,1007,100702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007,100702,NA,NA,NA,NA,NA,NA,NA,NA
10070204,1007,100702,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1007,100702,1,2,1,2,1,2,1,1
10070206,1007,100702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1007,100702,2,2,2,2,2,2,2,2
10070207,1007,100702,3,1,2,2,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,1007,100702,2,2,2,2,2,2,2,2
10070208,1007,100702,2,1,2,3,3,3,3,3,3,1,3,3,3,1,1,1,1,1,4,1,1007,100702,2,2,2,2,2,2,2,2
10070209,1007,100702,3,2,3,3,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007,100702,2,2,2,2,2,2,2,2
10070210,1007,100702,3,2,2,1,1,2,1,1,1,1,1,2,2,4,4,2,1,4,4,3,1007,100702,1,1,1,2,2,1,2,1
10070211,1007,100702,2,2,3,2,1,3,2,3,3,2,3,3,2,2,4,1,2,3,3,2,1007,100702,2,1,2,2,2,2,2,2
10070213,1007,100702,3,2,3,3,3,3,3,3,3,1,3,1,2,3,3,3,3,3,3,3,1007,100702,2,2,2,2,2,2,2,2
10070215,1007,100702,1,1,1,3,3,3,1,4,4,2,4,4,4,2,2,1,1,1,1,2,1007,100702,2,2,2,2,2,2,2,2
10070217,1007,100702,2,2,3,3,3,1,3,4,3,1,3,3,3,2,3,1,3,3,3,3,1007,100702,2,2,2,2,2,2,2,2
10070218,1007,100702,3,2,3,3,3,3,3,4,4,3,3,4,4,1,1,1,1,1,1,1,1007,100702,2,2,2,2,2,2,2,2
10070220,1007,100702,1,3,3,3,3,3,3,4,NA,2,3,4,4,2,3,3,4,3,4,4,1007,100702,2,2,1,2,2,2,2,2
10070221,1007,100702,3,1,1,1,1,2,1,2,4,4,3,3,3,3,3,3,3,3,3,3,1007,100702,NA,NA,NA,NA,NA,NA,NA,NA
10070222,1007,100702,2,3,3,3,3,3,2,2,3,1,1,1,4,3,2,4,4,3,4,3,1007,100702,1,1,1,2,1,2,2,1
10070223,1007,100702,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,1,1,1007,100702,2,2,2,2,2,2,2,2
10070224,1007,100702,1,1,1,2,1,2,2,3,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,1007,100702,2,2,2,2,2,2,2,2
10070226,1007,100702,3,1,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,4,1007,100702,2,2,2,2,2,2,2,2
10070227,1007,100702,3,1,3,3,3,3,3,4,4,1,1,4,4,4,2,2,2,2,4,2,1007,100702,2,2,2,2,2,2,2,2
10070228,1007,100702,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,1,1,2,1007,100702,2,2,2,2,2,2,2,2
10070229,1007,100702,2,2,2,2,1,1,1,4,4,4,4,4,4,2,2,2,2,2,2,2,1007,100702,2,2,2,2,2,2,2,2
10070230,1007,100702,2,1,3,2,2,2,3,1,1,1,1,1,1,3,4,1,2,3,4,2,1007,100702,2,2,2,2,2,2,2,2
10070231,1007,100702,3,1,3,3,3,3,1,4,4,1,4,4,2,2,4,1,1,1,4,1,1007,100702,2,2,2,2,2,2,2,2
10070232,1007,100702,1,1,1,1,2,3,1,4,4,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,1007,100702,1,1,1,1,1,1,1,1
10070233,1007,100702,2,1,2,3,1,2,2,3,4,2,3,3,3,2,2,1,1,2,1,1,1007,100702,2,2,2,2,2,2,2,2
10070234,1007,100702,3,1,3,3,3,3,3,2,3,1,4,3,3,2,2,2,2,2,2,2,1007,100702,2,2,2,2,2,2,2,2
10070235,1007,100702,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,4,4,4,4,4,1007,100702,1,1,2,1,1,1,2,1
10070239,1007,100702,1,1,1,1,3,2,1,4,4,2,3,3,3,3,2,3,2,3,3,3,1007,100702,2,2,2,NA,1,1,2,2
10070240,1007,100702,2,2,3,3,3,3,2,4,4,4,4,4,4,4,3,2,2,2,2,2,1007,100702,2,2,2,2,2,2,2,2
10070241,1007,100702,3,3,2,3,3,3,3,3,4,3,3,4,4,4,3,2,4,4,4,2,1007,100702,1,1,2,2,1,1,1,1
10070242,1007,100702,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,4,4,4,4,4,1007,100702,2,2,2,2,2,2,2,2
10070243,1007,100702,1,1,1,1,1,1,1,1,2,2,3,2,2,3,3,2,3,4,2,3,1007,100702,2,2,2,2,2,1,2,1
10080101,1008,100801,3,1,3,3,2,3,2,4,4,2,4,2,3,2,2,2,3,2,3,2,1008,100801,2,2,2,2,2,2,2,2
10080102,1008,100801,3,1,2,3,2,3,2,1,2,1,2,1,3,2,2,2,2,2,3,3,1008,100801,2,2,2,2,2,2,2,2
10080103,1008,100801,1,1,2,1,3,2,2,3,4,2,4,3,3,2,4,1,1,2,3,3,1008,100801,1,1,1,1,1,1,1,1
10080104,1008,100801,3,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,1008,100801,2,2,2,2,2,2,2,2
10080106,1008,100801,1,1,1,1,2,1,1,4,4,1,4,3,4,1,2,1,1,2,2,2,1008,100801,2,2,2,2,2,2,2,2
10080107,1008,100801,2,1,2,2,2,3,2,2,4,2,2,3,2,2,2,2,2,2,2,2,1008,100801,2,2,2,2,2,2,2,2
10080108,1008,100801,3,1,3,2,1,1,2,4,4,3,4,4,4,1,1,1,2,2,2,2,1008,100801,2,2,2,2,2,2,2,2
10080109,1008,100801,3,1,3,3,2,3,2,3,4,3,3,3,3,2,1,1,1,2,2,2,1008,100801,2,2,2,2,2,2,2,2
10080110,1008,100801,3,1,3,3,1,3,2,2,3,3,2,2,3,1,2,3,3,2,2,3,1008,100801,2,2,2,2,2,2,2,2
